command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
BETA,src/cli/cmd_beta.cpp,DOT|BETA,help,supported,mixed,beta-status-overrides filesystem,BETA USAGE,"List, inspect, and update beta tracking items and runtime beta-status overrides.","BETA
  BETA USAGE
  BETA LIST
  BETA <id>
  BETA DONE <id>
  BETA DEFER <id>
  BETA DEFERRED <id>
  BETA OPEN <id>
  BETA CLEAR <id>
  BETA CLEAR ALL
  BETA SAVE
  BETA LOAD",,"BETA with no arguments lists beta items.
  BETA <id> shows a beta item when the id begins with BETA-.
  DONE, DEFER, DEFERRED, OPEN, CLEAR, and CLEAR ALL mutate runtime beta status overrides.
  SAVE writes beta status overrides to the default status path.
  LOAD reads beta status overrides from the default status path.
  BETA mutates only beta tracking/status data, not table records.",,"ABOUT
  HELP
  FOXHELP",
BOOLEAN,src/edu/edu_boolean.cpp,EDU|BOOLEAN,education-expression,supported,evaluate-expression,none,BOOLEAN USAGE,Evaluate a boolean expression through xexpr and print .T. or .F.,"BOOLEAN USAGE
  BOOLEAN <expr>","BOOLEAN 1 = 1
  BOOLEAN GPA >= 3.0","BOOLEAN USAGE prints usage before expression evaluation.
  When a table is open, field-aware expressions use the current record.
  This command does not mutate table data.",,,"src/cli/edu_boolean.cpp
DotTalk++ BOOLEAN
xexpr migration note:
  This command now calls the xexpr facade instead of reaching directly into
  cli/expr/api.hpp, cli/expr/ast.hpp, and cli/expr/glue_xbase.hpp.
  The command syntax and output remain unchanged."
BOTTOM,src/cli/cmd_bottom.cpp,DOT|BOTTOM,navigation,supported,navigate,cursor,BOTTOM USAGE,Move the current work-area cursor to the last visible/logical record.,"BOTTOM
  BOTTOM USAGE",,"BOTTOM with no arguments moves to the last visible/logical record.
  BOTTOM requires an open table except for BOTTOM USAGE.
  BOTTOM uses the AutoByFilter last-record navigation selector.
  BOTTOM mutates cursor position but does not mutate table data.
  TALK ON prints the resulting record number when movement succeeds.",,"TOP
  BOTTOM
  FIRST
  LAST
  NEXT
  PRIOR
  SKIP
  GOTO
  GPS",
BROWSE,src/cli/cmd_browse.cpp,DOT|BROWSE,ui,supported,interactive,delegates browse module commands,BROWSE USAGE,"Enter the refactored BROWSE module through the legacy global command
  symbol, preserving existing callers while delegating implementation.","BROWSE USAGE
  BROWSE
  BROWSE EDIT",,"BROWSE is a thin forwarder to the browse module.
  BROWSE with no arguments enters interactive browse mode.
  BROWSE EDIT requests edit-capable browse behavior where supported by the module.
  Side effects depend on browse actions and delegated commands.",,"BROWSER
  BROWSETUI
  LIST
  DISPLAY
  REPLACE",src/cli/cmd_browse.cpp — thin forwarder to the refactored BROWSE module
BROWSER,src/cli/cmd_browser.cpp,DOT|BROWSER,ui,supported,interactive,delegates LIST DISPLAY GOTO REPLACE,BROWSER USAGE,"Enter a minimal interactive browser with list, display, goto, edit,
  help, and quit commands, delegating work to existing command handlers.","BROWSER USAGE
  BROWSER
  BROWSER EDIT",,"BROWSER with no arguments enters interactive browse mode.
  BROWSER EDIT displays edit mode in the banner; edit command is available inside the browser.
  Inside BROWSER, L lists records, D displays current record, G moves to a record, E edits via REPLACE, H or question-mark shows help, and Q quits.
  BROWSER itself is interactive; side effects come from delegated GOTO and REPLACE actions.",,"BROWSE
  BROWSETUI
  LIST
  DISPLAY
  GOTO
  REPLACE","cmd_browser.cpp
DotTalk++ ? Minimal interactive BROWSE with editing, no DbArea internals.
Uses existing handlers: LIST, DISPLAY, GOTO, REPLACE."
BROWSETUI,src/cli/cmd_browsetui.cpp,DOT|BROWSETUI,ui,supported,interactive,delegates create append delete goto replace-like staged edits,BROWSETUI USAGE,"Enter the full-screen Turbo/console browse UI with create, read, update,
  delete, append, navigation, and staged edit support.","BROWSETUI USAGE
  BROWSETUI",,"BROWSETUI with no arguments enters the interactive TUI browser.
  The TUI uses function keys and single-key commands for create, read/list, update/edit, delete, append, goto, help, and quit.
  Edits may be staged and then saved or discarded when navigating or exiting.
  BROWSETUI delegates to existing command handlers for create, append, delete, list/display, goto, and update-like operations.
  BROWSETUI is interactive and may mutate table data or session state depending on user actions.",,"BROWSE
  BROWSER
  CREATE
  APPEND
  DELETE
  GOTO","src/cli/cmd_browsetui.cpp
COMPLETE + TARGETED CLEAR VERSION - No more ""declared but not defined"" errors"
BUILDLMDB,src/cli/cmd_buildlmdb.cpp,DOT|BUILDLMDB,index,supported,rebuild,lmdb-index-backend filesystem order-state,BUILDLMDB USAGE,"Build or rebuild the LMDB backing store for a CDX container using one LMDB
  environment per table container and named databases for tags.","BUILDLMDB USAGE
  BUILDLMDB
  BUILDLMDB YES
  BUILDLMDB AUTO
  BUILDLMDB NOPROMPT
  BUILDLMDB CLEAN YES
  BUILDLMDB FORCE YES
  BUILDLMDB QUIET
  BUILDLMDB SILENT
  BUILDLMDB TINY
  BUILDLMDB SMALL
  BUILDLMDB MEDIUM
  BUILDLMDB LARGE
  BUILDLMDB XL
  BUILDLMDB HUGE
  BUILDLMDB MAPSIZE <size> YES
  BUILDLMDB CLEAN MAPSIZE <size> YES",,"BUILDLMDB requires an open table except for usage/help requests.
  The public CDX container resolves under INDEXES and the LMDB backend environment resolves under LMDB.
  If an existing LMDB environment would be destructively rebuilt, explicit YES, AUTO, NOPROMPT, QUIET, or SILENT is required.
  CLEAN and FORCE archive the existing environment before rebuild.
  BUILDLMDB releases active index/order state before destructive rebuild.
  BUILDLMDB rebuilds tag databases from current table data.",,"CDX
  LMDB
  SET ORDER
  INDEX
  REINDEX","One LMDB env per table container; multiple tags as named DBs inside (MDB_MAXDBS=1024).
Public/Backend policy:
- Public CDX container resolves under INDEXES.
- LMDB backend env resolves under LMDB.
- Example:
    data\indexes\students.cdx
  -> data\lmdb\students.cdx.d
Workflow policy:
- BUILDLMDB is shell-safe: no nested std::cin prompt reads.
- If an existing LMDB env would be destructively rebuilt, caller must supply
  YES / Y / AUTO / NOPROMPT / QUIET / SILENT explicitly.
- CLEAN / FORCE archives first and proceeds without the destructive prompt path."
CALC,src/cli/cmd_calc.cpp,DOT|CALC,expression,supported,evaluate,none unless assignment targets an open field,CALC USAGE,"Evaluate an xexpr scalar expression and print the result. When the input
  is an assignment to a real field in the current area, CALC delegates to
  CALCWRITE for mutation semantics.","CALC USAGE
  CALC <expr>
  CALC (<expr>)
  CALC <field> = <expr>","CALC 1 + 2
  CALC DATE()
  CALC UPPER(LNAME)
  CALC BALANCE = BALANCE + 10","CALC with an empty expression preserves existing behavior and prints .F.
  CALC prints Bool, Number, String, and Date results.
  CALC uses xexpr for scalar and field-aware expression evaluation.
  CALC assignment mutates only when the LHS is a real field in the open area.
  Field assignment is delegated to CALCWRITE so table-buffer, memo, validation,
  and direct-write/index semantics stay centralized.
  CALC expression-only mode is read-only; CALC field-assignment mode is a data mutation path.",,"CALCWRITE
  REPLACE
  MULTIREP
  XEXPR","===============================
FILE: src/cli/cmd_calc.cpp
CALC routes RHS evaluation through xexpr facade.
Notes:
- Supports scalar expressions and field-based expressions.
- Supports CALCWRITE-style assignment when the LHS is a real field.
- Result printing preserves Bool / Number / String / Date.
- No-file-open messaging is intentionally not emitted here anymore;
  whether a no-area expression can evaluate is decided deeper in the
  expression layer, not by CALC's final fallback.
==============================="
CALCWRITE,src/cli/cmd_calcwrite.cpp,DOT|CALCWRITE,data,supported,mutate,table-data table-buffer memo stale-state index,CALCWRITE USAGE,"Evaluate an expression and write the result into a field in the current
  record, preserving type normalization, validation, memo conversion,
  table-buffer semantics, and direct-write index maintenance.","CALCWRITE USAGE
  CALCWRITE <field> = <expr>","CALCWRITE BALANCE = BALANCE + 10
  CALCWRITE LNAME = UPPER(LNAME)
  CALCWRITE POSTED = TODAY","CALCWRITE requires an open table and a current record.
  CALCWRITE requires assignment syntax using '='.
  RHS expressions are evaluated with xexpr against the current area.
  Result values are normalized for the target field type before storage.
  Currency pair fields are validated and normalized through currency helpers.
  X64 memo fields update memo payloads and store memo object-id text.
  When TABLE buffering is ON, CALCWRITE buffers the change and marks the field stale/dirty.
  When TABLE buffering is OFF, CALCWRITE writes through DbArea::replaceFieldStored.
  Direct-write mode uses the engine mutation funnel so active indexes stay consistent.
  CALCWRITE is a table-data mutation command; do not classify it as read-only.",,"CALC
  REPLACE
  MULTIREP
  TABLE
  COMMIT",src/cli/cmd_calcwrite.cpp
CASE,src/edu/edu_case.cpp,EDU|CASE,education-reference,supported,report,none,CASE USAGE,List and show educational case-study catalog entries.,"CASE USAGE
  CASE HELP
  CASE LIST
  CASE SHOW <id>","CASE
  CASE LIST
  CASE SHOW normalization","CASE USAGE/HELP/? prints usage before catalog lookup.
  CASE is read-only catalog/reference output.",,,
CATALOGCANARY,src/cli/cmd_catalogcanary.cpp,DOT|CATALOGCANARY,metadata-dev,dev-canary,report,none,CATALOGCANARY USAGE,"Dev canary for the metadata catalog reader adapter. Reads the current
  already-open SYSCMD area and reports adapter row/distribution counts.","CATALOGCANARY
  CATALOGCANARY USAGE",,"CATALOGCANARY does not open SYSCMD.dbf.
  CATALOGCANARY does not call USE or WORKSPACE OPEN.
  CATALOGCANARY expects DotTalk++ to have already prepared the area:
    DO METADATA
    WORKSPACE OPEN DBF
    SELECT SYSCMD
  It calls load_commands_from_area(current_area).
  Registration is intentionally left to the house shell command registry.",,"METADATA
  WORKSPACE
  USE
  FIELDS
  LIST
  CMDHELPCHK",src/cli/cmd_catalogcanary.cpp
CDX,src/cli/cmd_cdx.cpp,DOT|CDX,index,supported,mixed,index-metadata filesystem,CDX USAGE,"Manage CDX index container metadata: create containers, inspect header/tag
  directories, add tags, and drop tags.","CDX USAGE
  CDX INFO [<path.cdx>]
  CDX TAGS [<path.cdx>]
  CDX CREATE [<path.cdx>]
  CDX ADDTAG <name> [<path.cdx>]
  CDX DROPTAG <name> [<path.cdx>]",,"CDX with no arguments shows usage and does not default to INFO.
  If no path is supplied, CDX first uses the active CDX path from order state when available.
  Otherwise CDX derives <current_dbf_basename>.cdx through the INDEXES path slot.
  CREATE refuses to overwrite an existing file.
  INFO and TAGS are read-only inspection operations and require an existing file.
  ADDTAG and DROPTAG mutate the CDX container tag directory and require an existing file.
  CDX manages container header/tag metadata; backend tag build data persistence is owned elsewhere.",,"CNX
  INDEX
  SET CDX
  SET ORDER
  REINDEX","Behavior change requested:
  - If invoked with no arguments ("". cdx""), print help/options and return.
    (Do NOT default to INFO.)
Policy enforced:
  - CREATE: refuse if file exists.
  - INFO/TAGS/ADDTAG/DROPTAG: require existing file (no implicit creation).
  - Default path (no path arg):
      1) if area has active CDX in orderstate: use it
      2) else <current_dbf_basename>.cdx resolved via INDEXES slot
Notes:
  - Tag build data (RUN1) persistence is handled by cdx backend; this command
    is only for container header + tag directory management."
CHRISTMAS,src/edu/edu_christmas.cpp,EDU|CHRISTMAS,education-demo,supported,report,none,CHRISTMAS USAGE,Print the retro colored ASCII Christmas tree demo.,"CHRISTMAS USAGE
  CHRISTMAS",CHRISTMAS,"CHRISTMAS USAGE/HELP/? prints usage before emitting the tree.
  Non-usage arguments are ignored to preserve prior demo behavior.",,,"edu_christmas.cpp
Retro ASCII Christmas tree for DotTalk++ terminal.
Uses segment-level ANSI coloring so visible width and raw output width stay sane."
CLEAR,src/cli/cmd_clear.cpp,DOT|CLEAR,ui,supported,screen,console,CLEAR USAGE,"Clear the terminal screen using the platform console command or ANSI
  escape sequence without touching the database engine.","CLEAR USAGE
  CLEAR
  CLS",,"CLEAR with no arguments clears the console screen.
  CLS is the registry alias where configured.
  CLEAR is UI-only and does not mutate table data or session state.",,"COLOR
  HELP","src/cli/cmd_clear.cpp
DotTalk++ ? CLEAR (and CLS alias via registry)
Cross-platform default: Windows -> cls; others -> ANSI escape.
We keep it minimal and non-invasive (no engine touches)."
CLOSE,src/cli/cmd_close.cpp,DOT|CLOSE,workspace,supported,close,session area memo order table-buffer relations,CLOSE USAGE,"Close the current work area, honoring dirty table-buffer prompts,
  clearing memo/order/table slot state, and clearing affected relation state.","CLOSE USAGE
  CLOSE
  CLOSE ALL",,"CLOSE with no arguments closes the current work area.
  CLOSE ALL currently clears all relations before closing the current area.
  CLOSE prompts or cancels through dirty table-buffer protection when needed.
  CLOSE runs memo sidecar lifecycle hooks before clearing area identity.
  CLOSE clears active order/index state.
  CLOSE resets table buffering state for the slot to off, clean, and fresh.
  CLOSE is a session/area mutation command; it does not directly mutate table records.",,"USE
  WORKSPACE
  TABLE
  COMMIT
  REL",src/cli/cmd_close.cpp
CMDHELP,src/cli/cmdhelp.cpp,DOT|CMDHELP,help,supported,build-report,helpdata,CMDHELP USAGE,Build or report the current HELP DATA catalogs and their legacy compatibility views.,"CMDHELP
  CMDHELP USAGE
  CMDHELP BUILD
  CMDHELP BUILD V2
  CMDHELP BUILD LEGACY
  CMDHELP LEGACY
  CMDHELP <topic> PREVIEW LOCALE <locale>
  CMDHELP <topic> LOCALE <locale>",,"CMDHELP BUILD writes the current HELP DATA DBFs.
  CMDHELP BUILD V2 is a silent compatibility alias for CMDHELP BUILD.
  CMDHELP BUILD LEGACY drives the old commands.dbf/cmd_args.dbf builder path.
  CMDHELP with no arguments reports current HELP DATA from help_line.dbf.
  CMDHELP LEGACY reports the old commands.dbf/cmd_args.dbf surface.
  Locale preview is explicit-only and does not change normal CMDHELP behavior.
  Preview falls back to canonical/source HELP text when locale rows are missing or blocked.
  The legacy writer/reader remains in this file only as an explicit compatibility path.
  It is no longer the default build/report surface.",,"HELP
  CMDHELPCHK
  DOTHELP
  FOXHELP",
CMDHELPCHK,src/cli/command_helpchk.cpp,DOT|CMDHELPCHK,help-diagnostics,supported,report,none,CMDHELPCHK USAGE,"Validate HELP/catalog artifacts and reflection metadata against command
  registry expectations, legacy HELP DBF rows, and HELP DATA v2 artifacts.","CMDHELPCHK
  CMDHELPCHK USAGE
  CMDHELPCHK REF
  CMDHELPCHK REFLECT
  CMDHELPCHK ARTIFACTS
  CMDHELPCHK ARTIFACTS <dir>
  CMDHELPCHK ARTIFACTS <dir> <limit>
  CMDHELPCHK V2 <dir> <limit>
  CMDHELPCHK <dir> [limit]",,"CMDHELPCHK with no arguments runs reflection-system validation.
  REF and REFLECT are explicit names for the reflection validation mode.
  ARTIFACTS and V2 validate HELP DATA v2 help_artifacts.dbf/.dbt.
  A directory argument without a mode runs the legacy commands.dbf/.dbt check.
  CMDHELPCHK reads HELP/catalog files but does not mutate table data.
  CMDHELPCHK v2 external scanner remains separate from this runtime command.",,"HELP
  CMDHELP
  HELP DATA

Robust validator for commands.dbf/.dbt produced by CMDHELP.
Adds HELP DATA v2 artifact validation for help_artifacts.dbf/.dbt.
Plus reflection-system audit mode.
============================================================================","============================================================================
File: src/cli/command_helpchk.cpp"
CNX,src/cli/cmd_cnx.cpp,DOT|CNX,index,supported,mixed,index-metadata filesystem,CNX USAGE,"Manage CNX index container metadata: create containers, inspect header/tag
  directories, add/drop tags, and walk/trace RUN1 tag structures.","CNX USAGE
  CNX INFO [<path.cnx>]
  CNX TAGS [<path.cnx>]
  CNX CREATE [<path.cnx>]
  CNX ADDTAG <name> [<path.cnx>]
  CNX DROPTAG <name> [<path.cnx>]
  CNX WALK <tag> [<path.cnx>]
  CNX TRACE <tag> [<path.cnx>]",,"CNX with no arguments shows usage.
  If no path is supplied, CNX first uses the active CNX path from order state when available.
  Otherwise CNX derives <current_dbf_basename>.cnx through the INDEXES path slot.
  CREATE refuses to overwrite an existing file.
  INFO, TAGS, WALK, and TRACE are read-only inspection/diagnostic operations and require an existing file.
  WALK/TRACE use root_page_off from the CNX tag directory and follow plausible child offsets with loop/depth protection.
  ADDTAG and DROPTAG mutate the CNX container tag directory and require an existing file.",,"CDX
  INDEX
  SET CNX
  SET ORDER
  REINDEX","  - "". cnx"" with no args prints help/options and returns.
  - CREATE: refuse if file exists.
  - INFO/TAGS/ADDTAG/DROPTAG/WALK: require existing file.
  - Default path (no path arg):
      1) if area has active CNX in orderstate: use it
      2) else <current_dbf_basename>.cnx resolved via INDEXES slot
WALK notes:
  - Read-only diagnostic
  - Uses root_page_off from the CNX tag directory
  - Prints RUN1 header/body summary
  - Follows plausible child offsets recursively with loop/depth protection
  - Does NOT modify CNX or replace backend traversal"
COBOL,src/edu/edu_cobol.cpp,EDU|COBOL,education-toolchain,supported,export-build-run,filesystem external-process,COBOL USAGE,Export STUDENTS data for COBOL exercises and build/run/test COBOL programs.,"COBOL USAGE
  COBOL EXPORT STUDENTS
  COBOL RUN <program>
  COBOL BUILD <source.cob|source.cbl>
  COBOL TEST <source.cob|source.cbl>","COBOL EXPORT STUDENTS
  COBOL BUILD hello.cob
  COBOL RUN hello
  COBOL TEST hello.cob","COBOL USAGE/HELP/? returns before table checks, file export, build, or run.
  EXPORT STUDENTS requires the current area to be the MCC STUDENTS table.
  BUILD/TEST may invoke the configured COBOL compiler.
  RUN/TEST may launch an external program.",,,src/cli/cmd_cobol.cpp
CODASYL,src/cli/cmd_codaysl.cpp,DOT|CODASYL,education,supported,teaching,codasyl-teaching-state cursor,CODASYL USAGE,"Provide a thin CODASYL teaching veneer over already-open DotTalk++ work areas,
  simulating owner/member set traversal without a second storage engine.","CODASYL USAGE
  CODASYL HELP
  CODASYL MODE ON
  CODASYL MODE OFF
  CODASYL LOAD <world>
  CODASYL SETS
  CODASYL SHOW SET <name>
  CODASYL FIND OWNER <set> <value>
  CODASYL FIND OWNER <owner_alias> <value>
  CODASYL GET FIRST
  CODASYL GET FIRST <set>
  CODASYL GET FIRST <member_alias>
  CODASYL GET NEXT
  CODASYL GET NEXT <set>
  CODASYL GET NEXT <member_alias>
  CODASYL WALK
  CODASYL WALK <set>
  CODASYL WALK <member_alias>
  CODASYL STATUS",,"CODASYL with no arguments shows usage.
  This is a teaching adapter and does not create physical CODASYL storage.
  It uses already-open work areas and named set definitions.
  LOAD installs a predefined set map for a named lesson world.
  FIND OWNER captures the current owner and builds a member snapshot.
  GET FIRST and GET NEXT move through the simulated member ring.
  WALK prints a simulated owner/member ring and preserves the member-area cursor best-effort.
  STATUS reports CODASYL teaching state.",,"WORKSPACE
  REL
  BROWSE
  USE","  - Uses already-open work areas
  - Uses named ""set"" definitions (owner alias / member alias / fields)
  - Traversal is computed dynamically by scanning the member area for matches
  - ""Ring"" behavior is simulated by GET FIRST / GET NEXT over a snapshot vector
Deliberate non-goals:
  - No physical owner/member pointers
  - No on-disk CODASYL storage
  - No bypass of DbArea or the existing engine
Notes:
  - LOAD currently installs a predefined world definition only.
    It does NOT auto-run SCHEMAS LOAD here. Keep this layer thin.
  - This is a LabTalk-facing teaching command, not a new backend."
COLOR,src/cli/cmd_color.cpp,DOT|COLOR,ui,supported,configure,ui-theme tree-color-setting,COLOR USAGE,Report or set the console color theme and tree-color behavior.,"COLOR
  COLOR USAGE
  COLOR DEFAULT
  COLOR GREEN
  COLOR AMBER
  COLOR TREE ON
  COLOR TREE OFF
  COLOR TREECOLOR ON
  COLOR TREECOLOR OFF",,"COLOR with no arguments reports the current theme, tree-color setting, and tree palette levels.
  COLOR DEFAULT, GREEN, AMBER, and other parseable theme names apply the console theme.
  COLOR TREE ON and COLOR TREE OFF toggle tree-color behavior.
  COLOR TREECOLOR is accepted as an alias for COLOR TREE.
  COLOR mutates UI presentation settings only.",,"CLEAR
  TREE
  HELP",src/cli/cmd_color.cpp
