EDGEID,FROMOBJ,TOOBJ,EDGETYPE,EVID
EDGE_6B63A8BD497E03F93B39,OBJ_57266DFAD7BF21A758E2,OBJ_6954ED0B862ABA951A6D,HAS_FIELD,
EDGE_25C0456555DF0A2054A3,OBJ_57266DFAD7BF21A758E2,OBJ_A214C94AA36F5BC677CA,HAS_FIELD,
EDGE_978C045C2B83FB3F070F,OBJ_D5E236EFEE19CF302007,OBJ_6DAFFE52127585780AF0,HAS_FIELD,
EDGE_A1BCEAC72BB32F77B300,OBJ_D5E236EFEE19CF302007,OBJ_1F53F3C7D79327873488,HAS_FIELD,
EDGE_0FB6E191D3F27C902E44,OBJ_D5E236EFEE19CF302007,OBJ_2684578DA732E1FF6F7F,HAS_FIELD,
EDGE_8DA09F41FBB3EE66DEB1,OBJ_D5E236EFEE19CF302007,OBJ_6A735BE1D257099AF541,HAS_FIELD,
EDGE_028B4ED4B6EE05596E35,OBJ_D5E236EFEE19CF302007,OBJ_0617BC5934C2C7C7F594,HAS_FIELD,
EDGE_9E2A57399B498A735CE2,OBJ_5D7F72EAF174C4798A0E,OBJ_0769C97BC67BEAF821B9,HAS_FIELD,
EDGE_8FFC448E979AC0917A9B,OBJ_5D7F72EAF174C4798A0E,OBJ_D01932635E7A9D8880E8,HAS_FIELD,
EDGE_FC1D17760C263B87A865,OBJ_5D7F72EAF174C4798A0E,OBJ_0750B81A75C501EF14F0,HAS_FIELD,
EDGE_8DDD9C0F15B5B0E3DF68,OBJ_5D7F72EAF174C4798A0E,OBJ_AB5440183477DCA093DF,HAS_FIELD,
EDGE_BE129C8D5DF362CDAB4D,OBJ_5D7F72EAF174C4798A0E,OBJ_878EA665E2F8AB9F828B,HAS_FIELD,
EDGE_132DF9AA6661248AB1CE,OBJ_5D7F72EAF174C4798A0E,OBJ_9E5CDB2B1E8E254A6DE7,HAS_FIELD,
EDGE_6547F8D32C2E023E41A5,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_EDD6D86C9EE61E37288C,HAS_FIELD,
EDGE_79A6AA1FC3D0A724E142,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_1FAF4858CBEE8E387EC8,HAS_FIELD,
EDGE_91FE0B3121807DE1D214,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_E520194E31867978BEFB,HAS_FIELD,
EDGE_0B3DFC1F0A7D8D0A446F,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_060E116B833BB189D707,HAS_FIELD,
EDGE_AE29B62ED0A8B7A23E57,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_F4AE13F554F80A5A392A,HAS_FIELD,
EDGE_B605E03ED97DED3FCA35,OBJ_92D957D39F59C251F128,OBJ_8AA8549FABF5BEFB8380,HAS_FIELD,
EDGE_D5E9F555EF15BEB8FB48,OBJ_92D957D39F59C251F128,OBJ_43BC29C66D42EFAD449F,HAS_FIELD,
EDGE_439FEB7D34FCE38B20F9,OBJ_92D957D39F59C251F128,OBJ_48ED3BA45D7D40D7B7FE,HAS_FIELD,
EDGE_22C7A4B897AD61EA0774,OBJ_92D957D39F59C251F128,OBJ_212102AD87386057ADDB,HAS_FIELD,
EDGE_10930102304143F33E6F,OBJ_92D957D39F59C251F128,OBJ_C4FC69451219223C5091,HAS_FIELD,
EDGE_AE59E65E0CC126FA9776,OBJ_92D957D39F59C251F128,OBJ_80B4292FFD69C1D0458E,HAS_FIELD,
EDGE_F9FA1D752E18E90EB5EC,OBJ_92D957D39F59C251F128,OBJ_A817CD96E27126EDD5E3,HAS_FIELD,
EDGE_43CC5E9D60F051F6776B,OBJ_92818B77DFCD62590870,OBJ_F56DF3E8169ACB403A89,HAS_FIELD,
EDGE_B858BE443D0562530485,OBJ_92818B77DFCD62590870,OBJ_BDFD3E499D3E0B242F64,HAS_FIELD,
EDGE_A687EED1F4D978E82A93,OBJ_92818B77DFCD62590870,OBJ_F044AD268E3EEBF152D0,HAS_FIELD,
EDGE_AC68DF35410A9B5CDD09,OBJ_92818B77DFCD62590870,OBJ_68623AEA556D70A996BA,HAS_FIELD,
EDGE_9B90BB459C5172168381,OBJ_92818B77DFCD62590870,OBJ_150B642F7CFA4A8B71F5,HAS_FIELD,
EDGE_4DDE9BB1D33ED2349D09,OBJ_92818B77DFCD62590870,OBJ_B08EC07A283C8FA1CCC1,HAS_FIELD,
EDGE_0A8ECFEBF6C9DD711EF4,OBJ_EBCCC0F457303F2D5649,OBJ_93FD6D19AD83C026DFE3,HAS_FIELD,
EDGE_E967D68FCBD5C9B175FE,OBJ_EBCCC0F457303F2D5649,OBJ_96D3B8E55450AE4896AE,HAS_FIELD,
EDGE_AFE542AF2054D54901D5,OBJ_EBCCC0F457303F2D5649,OBJ_750153055ABCC82B857A,HAS_FIELD,
EDGE_F232CF405F86A397D9C7,OBJ_EBCCC0F457303F2D5649,OBJ_99A508FA3AF9B00645A8,HAS_FIELD,
EDGE_7BA29BA5DD0B8B43E85D,OBJ_A05DB9F99A7AD6B36069,OBJ_A0B1D55CFBD00C79A354,HAS_TAG,
EDGE_2C1F97F1C48AD6AFE7A0,OBJ_A05DB9F99A7AD6B36069,OBJ_B4FFE4C5FD21DEE38A7E,HAS_TAG,
EDGE_3048EAE2D7790772475F,OBJ_E5DD5DB46A44911D24C7,OBJ_0F49057837D12CD9F544,HAS_TAG,
EDGE_DF7E7074B360A50206CE,OBJ_E5DD5DB46A44911D24C7,OBJ_2BD3802BA92C1DCFD05D,HAS_TAG,
EDGE_376D1969B23F2AF63DA2,OBJ_3122F33830CB2DB8DCBE,OBJ_F2D872C4053CC0C207E3,HAS_TAG,
EDGE_72AFB46457E7DEBE82A7,OBJ_3122F33830CB2DB8DCBE,OBJ_6D0CD16AA388B0EEA286,HAS_TAG,
EDGE_B32E90EF424ABEDEB359,OBJ_F145DDC879A1964EB5D0,OBJ_E4E468E2764C94F247E1,HAS_TAG,
EDGE_5039B35EE08A6FEDB81B,OBJ_F145DDC879A1964EB5D0,OBJ_DF3BDCDB70A8901AA0D9,HAS_TAG,
EDGE_C433A0F33F33B3990040,OBJ_57266DFAD7BF21A758E2,OBJ_124792EF45342A09490A,HAS_TAG,
EDGE_CB3AB415CAE22D3EC6BE,OBJ_57266DFAD7BF21A758E2,OBJ_31AA01E25966765DCFE9,HAS_TAG,
EDGE_514394C974F9E4AD900F,OBJ_D5E236EFEE19CF302007,OBJ_17E5B2C68890E16AB312,HAS_TAG,
EDGE_C44947E54C8492BE5FFB,OBJ_D5E236EFEE19CF302007,OBJ_E5261A81C45FDB229153,HAS_TAG,
EDGE_0384332CC301073D9BDA,OBJ_5D7F72EAF174C4798A0E,OBJ_5AC238AA715CF5A77C6E,HAS_TAG,
EDGE_2677E612618943395A39,OBJ_5D7F72EAF174C4798A0E,OBJ_DA44F08260C3AA7931D8,HAS_TAG,
EDGE_296AF5B8DB975ED7F2BF,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_C727D86082F60461128D,HAS_TAG,
EDGE_6A65125780EE5061D70B,OBJ_BEEBBBB7C3B6C1ECE4D2,OBJ_3E5E9C812F51078FD545,HAS_TAG,
EDGE_61533CDF39B8F6C2303B,OBJ_92D957D39F59C251F128,OBJ_F3355B777A52DD565B7C,HAS_TAG,
EDGE_95E89800BCA6FABBED8D,OBJ_92D957D39F59C251F128,OBJ_612DCACBAC08113F5FD9,HAS_TAG,
EDGE_FE0B84E1ECEBB6FEE9EB,OBJ_92818B77DFCD62590870,OBJ_CC8C6913B7FF10BD70DE,HAS_TAG,
EDGE_1DB75409940F9230FDB7,OBJ_92818B77DFCD62590870,OBJ_5E2A2CF23EEEA2BFB518,HAS_TAG,
EDGE_DDE1A37CD36269FD008B,OBJ_EBCCC0F457303F2D5649,OBJ_4787D9A3D9D8E2A8D75A,HAS_TAG,
EDGE_7504C2006B52CCD8D7D6,OBJ_EBCCC0F457303F2D5649,OBJ_C1FF246D96A76C25EBD6,HAS_TAG,
