OBJID,OBJTYPE,NAME,OWNER,STATUS,PROFILE,SRCID
OBJ_68623AEA556D70A996BA,CATALOG_FIELD,KIND,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_150B642F7CFA4A8B71F5,CATALOG_FIELD,STATUS,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_B08EC07A283C8FA1CCC1,CATALOG_FIELD,SHA256,DDARTIF,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_93FD6D19AD83C026DFE3,CATALOG_FIELD,PROFID,DDPROFILE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_96D3B8E55450AE4896AE,CATALOG_FIELD,NAME,DDPROFILE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_750153055ABCC82B857A,CATALOG_FIELD,VISIBLE,DDPROFILE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_99A508FA3AF9B00645A8,CATALOG_FIELD,NOTES,DDPROFILE,PLANNED_FIELD_DEFINITION,ENGINE,
OBJ_A0B1D55CFBD00C79A354,CATALOG_TAG,RUNID,DDRUN,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_B4FFE4C5FD21DEE38A7E,CATALOG_TAG,STATUS,DDRUN,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_0F49057837D12CD9F544,CATALOG_TAG,BASEID,DDBASE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_2BD3802BA92C1DCFD05D,CATALOG_TAG,FINGER,DDBASE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_F2D872C4053CC0C207E3,CATALOG_TAG,SRCID,DDSOURCE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_6D0CD16AA388B0EEA286,CATALOG_TAG,PATH,DDSOURCE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_E4E468E2764C94F247E1,CATALOG_TAG,OBJID,DDOBJECT,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_DF3BDCDB70A8901AA0D9,CATALOG_TAG,TYPE_NAME,DDOBJECT,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_124792EF45342A09490A,CATALOG_TAG,ATTRID,DDATTR,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_31AA01E25966765DCFE9,CATALOG_TAG,OBJ_ATTR,DDATTR,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_17E5B2C68890E16AB312,CATALOG_TAG,EDGEID,DDEDGE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_E5261A81C45FDB229153,CATALOG_TAG,FROMOBJ,DDEDGE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_5AC238AA715CF5A77C6E,CATALOG_TAG,EVID,DDEVID,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_DA44F08260C3AA7931D8,CATALOG_TAG,OBJID,DDEVID,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_C727D86082F60461128D,CATALOG_TAG,GATEID,DDGATE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_3E5E9C812F51078FD545,CATALOG_TAG,RUN_GATE,DDGATE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_F3355B777A52DD565B7C,CATALOG_TAG,REVID,DDREVIEW,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_612DCACBAC08113F5FD9,CATALOG_TAG,RUN_SEV,DDREVIEW,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_CC8C6913B7FF10BD70DE,CATALOG_TAG,ARTID,DDARTIF,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_5E2A2CF23EEEA2BFB518,CATALOG_TAG,RUN_KIND,DDARTIF,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_4787D9A3D9D8E2A8D75A,CATALOG_TAG,PROFID,DDPROFILE,PLANNED_TAG_DEFINITION,ENGINE,
OBJ_C1FF246D96A76C25EBD6,CATALOG_TAG,NAME,DDPROFILE,PLANNED_TAG_DEFINITION,ENGINE,
