ATTRID,OBJID,ATTRNAME,ATTRVAL,ATTRMEMO,EVID
ATTR_7B1F70300631E0D7BBE8,OBJ_2756115AA7694E1BAD4F,decimals,0,0,
ATTR_EB085BBA9ED696E7D300,OBJ_2756115AA7694E1BAD4F,required,1,1,
ATTR_8C263B14C3F0BE27BEB3,OBJ_2756115AA7694E1BAD4F,description,Run id that accepted baseline,Run id that accepted baseline,
ATTR_DE550F69808DBCC98476,OBJ_7CBF72F332BE1A051392,type,C,C,
ATTR_E84B1BDE89FE328E8F3B,OBJ_7CBF72F332BE1A051392,width,220,220,
ATTR_D6145C821E53801C8472,OBJ_7CBF72F332BE1A051392,decimals,0,0,
ATTR_D367E6AC2322B60C4278,OBJ_7CBF72F332BE1A051392,required,1,1,
ATTR_602FF6D728180E7C1315,OBJ_7CBF72F332BE1A051392,description,Manifest path,Manifest path,
ATTR_175C0AEEE9E492728A1F,OBJ_2AB19CB6772EA5205218,type,C,C,
ATTR_BF2ABB7066516E20EAAD,OBJ_2AB19CB6772EA5205218,width,40,40,
ATTR_7586C577130B69A9A9CE,OBJ_2AB19CB6772EA5205218,decimals,0,0,
ATTR_7F7539A03D0C9CFD3202,OBJ_2AB19CB6772EA5205218,required,0,0,
ATTR_6DAB0CA6185DB615DCAA,OBJ_2AB19CB6772EA5205218,description,Profile label,Profile label,
ATTR_176BA0DE55ADD2E3B0FC,OBJ_C28D0D7369B0BA96E8F3,type,M,M,
ATTR_28D9E460B3F918BCD783,OBJ_C28D0D7369B0BA96E8F3,width,10,10,
ATTR_80BB3328DF1C80A8C631,OBJ_C28D0D7369B0BA96E8F3,decimals,0,0,
ATTR_9C6BBFC5ED736C355B9A,OBJ_C28D0D7369B0BA96E8F3,required,0,0,
ATTR_62188A4A2CDCAF1FDF5E,OBJ_C28D0D7369B0BA96E8F3,description,Baseline acceptance report excerpt,Baseline acceptance report excerpt,
ATTR_9DA271A89E86DCBD2B5E,OBJ_E5CAC2F5A59161816F45,type,C,C,
ATTR_3CBAC5F009FD1CC1AD31,OBJ_E5CAC2F5A59161816F45,width,64,64,
ATTR_EB7174310291AE1F5A9E,OBJ_E5CAC2F5A59161816F45,decimals,0,0,
ATTR_A5904657CA98ED395EAB,OBJ_E5CAC2F5A59161816F45,required,1,1,
ATTR_9996FC2A92BA0FFA16DE,OBJ_E5CAC2F5A59161816F45,description,Source identity hash or assigned id,Source identity hash or assigned id,
ATTR_B2C2E3BEE690A5BAF799,OBJ_840867C55F16EC23DB28,type,C,C,
ATTR_EFAD38335D395ED0A7A8,OBJ_840867C55F16EC23DB28,width,240,240,
ATTR_C0EF9CDC1558FFC1801D,OBJ_840867C55F16EC23DB28,decimals,0,0,
ATTR_B336C9AF798FA15056D0,OBJ_840867C55F16EC23DB28,required,1,1,
ATTR_D0A89841E7CF5C1D2AE1,OBJ_840867C55F16EC23DB28,description,Repo-relative path,Repo-relative path,
ATTR_C13994716051230D43FF,OBJ_073A8686C3F7B0F31582,type,C,C,
ATTR_4D49EE2BF5E642D0BC12,OBJ_073A8686C3F7B0F31582,width,32,32,
ATTR_4F5D8E9FE7C63633C8C3,OBJ_073A8686C3F7B0F31582,decimals,0,0,
ATTR_56BBA248A8481257B370,OBJ_073A8686C3F7B0F31582,required,1,1,
ATTR_62476D399C8AFA188483,OBJ_073A8686C3F7B0F31582,description,Source kind,Source kind,
ATTR_EBDD73BD4523677B0470,OBJ_0CCDE1763A724649F2FD,type,C,C,
ATTR_9B9E122627A9DD71B750,OBJ_0CCDE1763A724649F2FD,width,64,64,
ATTR_5B7F9CD242454CE0F6C3,OBJ_0CCDE1763A724649F2FD,decimals,0,0,
ATTR_6B43A0DE1870A6A29927,OBJ_0CCDE1763A724649F2FD,required,0,0,
ATTR_2A391AFB455FB2DEA452,OBJ_0CCDE1763A724649F2FD,description,File hash,File hash,
ATTR_A047D3F110D76092E4D0,OBJ_6687DC8E1DEDD3F309C5,type,N,N,
ATTR_7D7B100EA6B070EB3D1F,OBJ_6687DC8E1DEDD3F309C5,width,12,12,
ATTR_959E0AA0AB9B7537028D,OBJ_6687DC8E1DEDD3F309C5,decimals,0,0,
ATTR_B227D9EB910A42BD86F0,OBJ_6687DC8E1DEDD3F309C5,required,0,0,
ATTR_7F1A0738D7F2603BAB28,OBJ_6687DC8E1DEDD3F309C5,description,File size,File size,
ATTR_A31543296C2A4C5864C9,OBJ_1FC1556A8B76CD62C2D9,type,C,C,
ATTR_7AD26E7FA2BD4A5D7803,OBJ_1FC1556A8B76CD62C2D9,width,40,40,
ATTR_58E3003E71E572D077F0,OBJ_1FC1556A8B76CD62C2D9,decimals,0,0,
ATTR_F12F27B15E7FA492D424,OBJ_1FC1556A8B76CD62C2D9,required,0,0,
ATTR_798D2B233CF7DC549015,OBJ_1FC1556A8B76CD62C2D9,description,Profile label,Profile label,
ATTR_F83AAC1E00AE385565BC,OBJ_018C4A8AB6B109E2E0A0,type,C,C,
ATTR_D63BE66AB54FB2948D4A,OBJ_018C4A8AB6B109E2E0A0,width,64,64,
ATTR_E46CF288BDECFE45E9DC,OBJ_018C4A8AB6B109E2E0A0,decimals,0,0,
ATTR_D7ED355B37E9D4262B57,OBJ_018C4A8AB6B109E2E0A0,required,1,1,
ATTR_F3DBB34CEE30E93B5C0A,OBJ_018C4A8AB6B109E2E0A0,description,Object id,Object id,
ATTR_1E4BA459ACA89E0997C7,OBJ_6C67661120A4F1331E13,type,C,C,
ATTR_A298C27EAE4D351E99AF,OBJ_6C67661120A4F1331E13,width,32,32,
ATTR_CA62AE3240D209692E32,OBJ_6C67661120A4F1331E13,decimals,0,0,
ATTR_56A63CCD37B06E2B6208,OBJ_6C67661120A4F1331E13,required,1,1,
ATTR_001C83EB23FBCCBD2269,OBJ_6C67661120A4F1331E13,description,Object type,Object type,
ATTR_322C6BD8A22CD0950A1B,OBJ_1F5A05F79EEA53B08533,type,C,C,
ATTR_AE409428F582BC465618,OBJ_1F5A05F79EEA53B08533,width,120,120,
ATTR_DD8B0125146783AB3431,OBJ_1F5A05F79EEA53B08533,decimals,0,0,
ATTR_6391BC8700DB96AE25F1,OBJ_1F5A05F79EEA53B08533,required,1,1,
ATTR_26BE01DFBA461CD6988C,OBJ_1F5A05F79EEA53B08533,description,Object name,Object name,
ATTR_F78D4C0DF985050D3A6E,OBJ_E8583DA8B8DA77D08B30,type,C,C,
ATTR_70FB77D4099FB25B5FE4,OBJ_E8583DA8B8DA77D08B30,width,120,120,
ATTR_E67B5A347B1C759B60E8,OBJ_E8583DA8B8DA77D08B30,decimals,0,0,
ATTR_926AC9393F1EBC0B96F6,OBJ_E8583DA8B8DA77D08B30,required,0,0,
ATTR_150B623CEA4632124B09,OBJ_E8583DA8B8DA77D08B30,description,Owning object or area,Owning object or area,
ATTR_D1FD24844E3335ED5698,OBJ_798E404826C602D97020,type,C,C,
ATTR_C86D7AAF5D00671895AF,OBJ_798E404826C602D97020,width,48,48,
ATTR_20EFF110B2B5BD466523,OBJ_798E404826C602D97020,decimals,0,0,
ATTR_E540A050F30BBFDB0395,OBJ_798E404826C602D97020,required,0,0,
ATTR_85FA8052DB51E51C4337,OBJ_798E404826C602D97020,description,Object status,Object status,
ATTR_1846B4D21279EC772999,OBJ_4D566D8C01E013B2E083,type,C,C,
ATTR_61FBB9A5C5D8E2478518,OBJ_4D566D8C01E013B2E083,width,40,40,
ATTR_478D8048B7D43CBC5D84,OBJ_4D566D8C01E013B2E083,decimals,0,0,
ATTR_AD1D52FAEAB91C2D7AA9,OBJ_4D566D8C01E013B2E083,required,0,0,
ATTR_6461CA8468C3EADBC285,OBJ_4D566D8C01E013B2E083,description,Profile label,Profile label,
ATTR_72D6A55647C575093D79,OBJ_A09948DE898CBE6389E0,type,C,C,
ATTR_33FDACDC6B009208C3FD,OBJ_A09948DE898CBE6389E0,width,64,64,
ATTR_AAF2958C0E742628F9CB,OBJ_A09948DE898CBE6389E0,decimals,0,0,
ATTR_2BD0683E8CFB8DC390AD,OBJ_A09948DE898CBE6389E0,required,0,0,
ATTR_765A0608E5E4EF86C2C1,OBJ_A09948DE898CBE6389E0,description,Primary evidence source,Primary evidence source,
ATTR_558D8C5368147769DCA4,OBJ_0396730F74C7AA4300F7,type,C,C,
ATTR_5187F932387FE621BCD3,OBJ_0396730F74C7AA4300F7,width,64,64,
ATTR_12FCBDABA6228EE8C1CA,OBJ_0396730F74C7AA4300F7,decimals,0,0,
ATTR_2597046F00AB63A7AB68,OBJ_0396730F74C7AA4300F7,required,1,1,
ATTR_AC3B17607847B5A57EB7,OBJ_0396730F74C7AA4300F7,description,Attribute id,Attribute id,
ATTR_813AA701E39EAF708C71,OBJ_3D33DC2146AED28726A6,type,C,C,
ATTR_FEC67F7F3CB31D218A03,OBJ_3D33DC2146AED28726A6,width,64,64,
ATTR_B4F9F1E7BE9EF1536C7F,OBJ_3D33DC2146AED28726A6,decimals,0,0,
ATTR_9B64BE6BD30E222BB2B8,OBJ_3D33DC2146AED28726A6,required,1,1,
ATTR_BF91BBE249DE18F35673,OBJ_3D33DC2146AED28726A6,description,Object id,Object id,
ATTR_652F491E6B3A39CECDEB,OBJ_ACA04DAEADB23900B856,type,C,C,
ATTR_257300EF375EE8345C7A,OBJ_ACA04DAEADB23900B856,width,80,80,
ATTR_D6CB1709D2FA3F1CE656,OBJ_ACA04DAEADB23900B856,decimals,0,0,
ATTR_2EA8E299971BF8C09D20,OBJ_ACA04DAEADB23900B856,required,1,1,
ATTR_B4E97EC1AA2C4DD25CA0,OBJ_ACA04DAEADB23900B856,description,Attribute name,Attribute name,
ATTR_889F95381676EB22AD82,OBJ_DDF6AC7DB24E860A80CF,type,C,C,
ATTR_07F7D0690D8109FCC863,OBJ_DDF6AC7DB24E860A80CF,width,240,240,
ATTR_70D4EB8279ED843DF6CA,OBJ_DDF6AC7DB24E860A80CF,decimals,0,0,
ATTR_05CBAA76AC81F75DE4D3,OBJ_DDF6AC7DB24E860A80CF,required,0,0,
ATTR_08F64A15CCB138B68C1C,OBJ_DDF6AC7DB24E860A80CF,description,Short attribute value,Short attribute value,
ATTR_9C4D014CD1D475F9D208,OBJ_6954ED0B862ABA951A6D,type,M,M,
ATTR_FEEC27202D55FCFE1B37,OBJ_6954ED0B862ABA951A6D,width,10,10,
ATTR_953F5BE4BEA08554BBBC,OBJ_6954ED0B862ABA951A6D,decimals,0,0,
ATTR_61F596C52D7D55D38FC5,OBJ_6954ED0B862ABA951A6D,required,0,0,
ATTR_B05D3A259B2DA14925B7,OBJ_6954ED0B862ABA951A6D,description,Long attribute value,Long attribute value,
ATTR_573CACDE392C90180A58,OBJ_A214C94AA36F5BC677CA,type,C,C,
ATTR_7791AF536FFC6EDD2D46,OBJ_A214C94AA36F5BC677CA,width,64,64,
ATTR_E54485AB1D393A725519,OBJ_A214C94AA36F5BC677CA,decimals,0,0,
ATTR_C036CDD839AD98AE9135,OBJ_A214C94AA36F5BC677CA,required,0,0,
ATTR_E736D8A66664007D3B74,OBJ_A214C94AA36F5BC677CA,description,Evidence id,Evidence id,
ATTR_BFC31B7BECC2CB8E1B72,OBJ_6DAFFE52127585780AF0,type,C,C,
ATTR_61BE3560322ED3CE2C52,OBJ_6DAFFE52127585780AF0,width,64,64,
ATTR_15640B2F0D040767BB21,OBJ_6DAFFE52127585780AF0,decimals,0,0,
ATTR_AC121F171BAA31B92ADF,OBJ_6DAFFE52127585780AF0,required,1,1,
ATTR_C3B9570AB4807983EB77,OBJ_6DAFFE52127585780AF0,description,Edge id,Edge id,
ATTR_A99B33764419DE162FA4,OBJ_1F53F3C7D79327873488,type,C,C,
ATTR_70C676D157478C4FF0E0,OBJ_1F53F3C7D79327873488,width,64,64,
ATTR_66DE46EF466DC9B86472,OBJ_1F53F3C7D79327873488,decimals,0,0,
ATTR_DA19B129902EBF322A11,OBJ_1F53F3C7D79327873488,required,1,1,
ATTR_420DE528B80FB9EC7206,OBJ_1F53F3C7D79327873488,description,From object id,From object id,
ATTR_479D100B74934CD8C545,OBJ_2684578DA732E1FF6F7F,type,C,C,
ATTR_CAF80F011B8BEC8C310B,OBJ_2684578DA732E1FF6F7F,width,64,64,
ATTR_10D02AA7646809B15724,OBJ_2684578DA732E1FF6F7F,decimals,0,0,
ATTR_48BF02181E4B29FC3A91,OBJ_2684578DA732E1FF6F7F,required,1,1,
ATTR_E108C0DEE82EBC56132B,OBJ_2684578DA732E1FF6F7F,description,To object id,To object id,
ATTR_E367FE0C89ED5650BFB7,OBJ_6A735BE1D257099AF541,type,C,C,
ATTR_C7FBE1D7BF97CD27FC0A,OBJ_6A735BE1D257099AF541,width,40,40,
ATTR_6D206ABC75B466134969,OBJ_6A735BE1D257099AF541,decimals,0,0,
ATTR_5B3DE72DD6AE2D68CD03,OBJ_6A735BE1D257099AF541,required,1,1,
ATTR_B3D2ED13917E9528B8C1,OBJ_6A735BE1D257099AF541,description,Relationship type,Relationship type,
ATTR_924188044869F3199B91,OBJ_0617BC5934C2C7C7F594,type,C,C,
ATTR_FB754E883CE280B8D910,OBJ_0617BC5934C2C7C7F594,width,64,64,
ATTR_3A94F3F55013E4396F5D,OBJ_0617BC5934C2C7C7F594,decimals,0,0,
ATTR_61E07022A8F00FE36074,OBJ_0617BC5934C2C7C7F594,required,0,0,
ATTR_BBAE880EC247E0B47E56,OBJ_0617BC5934C2C7C7F594,description,Evidence id,Evidence id,
ATTR_0C5989048E9B9A859EC3,OBJ_0769C97BC67BEAF821B9,type,C,C,
ATTR_6B70D644E57182EE605A,OBJ_0769C97BC67BEAF821B9,width,64,64,
ATTR_627CFBD7652225BBAC1B,OBJ_0769C97BC67BEAF821B9,decimals,0,0,
ATTR_49095F8EC12963CB5BBD,OBJ_0769C97BC67BEAF821B9,required,1,1,
ATTR_876FE3CA43EF0948B0C7,OBJ_0769C97BC67BEAF821B9,description,Evidence id,Evidence id,
ATTR_D0AD4B653910CF1BB680,OBJ_D01932635E7A9D8880E8,type,C,C,
ATTR_ABFE3F661BDACE8B9D0E,OBJ_D01932635E7A9D8880E8,width,64,64,
ATTR_2243B159FFB5FAD48D69,OBJ_D01932635E7A9D8880E8,decimals,0,0,
ATTR_60E6740124324A72201D,OBJ_D01932635E7A9D8880E8,required,0,0,
ATTR_2C66305733CE6B95362B,OBJ_D01932635E7A9D8880E8,description,Object id,Object id,
ATTR_FEC7B8D092609C103386,OBJ_0750B81A75C501EF14F0,type,C,C,
ATTR_033B76700C9A4ADA55FD,OBJ_0750B81A75C501EF14F0,width,64,64,
ATTR_B05FA27022219440F732,OBJ_0750B81A75C501EF14F0,decimals,0,0,
ATTR_3DEF19F50D9B4AFC80CE,OBJ_0750B81A75C501EF14F0,required,1,1,
ATTR_B16B1D79554D5B932F73,OBJ_0750B81A75C501EF14F0,description,Source id,Source id,
ATTR_16B9270D5B4040A1347D,OBJ_AB5440183477DCA093DF,type,C,C,
ATTR_F484E94E29E6351F4A0C,OBJ_AB5440183477DCA093DF,width,40,40,
ATTR_B34C493628E502E6B07B,OBJ_AB5440183477DCA093DF,decimals,0,0,
ATTR_3F5222BF5C62957DCC3D,OBJ_AB5440183477DCA093DF,required,1,1,
ATTR_D9C7A71A1560AE8D4DD2,OBJ_AB5440183477DCA093DF,description,Evidence kind,Evidence kind,
ATTR_477C10AB4030002601DA,OBJ_878EA665E2F8AB9F828B,type,N,N,
ATTR_C1B8E12DC56F0F036791,OBJ_878EA665E2F8AB9F828B,width,5,5,
ATTR_0C0E2CFD2AFBC8B6EDFC,OBJ_878EA665E2F8AB9F828B,decimals,2,2,
ATTR_A72D2E7CA03E0668A956,OBJ_878EA665E2F8AB9F828B,required,0,0,
ATTR_8F2CD2350F9BC7957B68,OBJ_878EA665E2F8AB9F828B,description,Confidence / weight,Confidence / weight,
ATTR_507DB0ED0DCA44C690E8,OBJ_9E5CDB2B1E8E254A6DE7,type,M,M,
ATTR_70CD3D943DD1408E0DBE,OBJ_9E5CDB2B1E8E254A6DE7,width,10,10,
ATTR_23852AAB23D6366CE80A,OBJ_9E5CDB2B1E8E254A6DE7,decimals,0,0,
ATTR_97CDC362F589BA83812D,OBJ_9E5CDB2B1E8E254A6DE7,required,0,0,
ATTR_40E80AE5741361A20285,OBJ_9E5CDB2B1E8E254A6DE7,description,Evidence detail memo,Evidence detail memo,
ATTR_9E6E615CBC9BD8CD8EB7,OBJ_EDD6D86C9EE61E37288C,type,C,C,
ATTR_27B31A56A977A9F90EEB,OBJ_EDD6D86C9EE61E37288C,width,64,64,
ATTR_FB1451CF93A694068611,OBJ_EDD6D86C9EE61E37288C,decimals,0,0,
ATTR_9C831CB0BE39DFD73B06,OBJ_EDD6D86C9EE61E37288C,required,1,1,
ATTR_8CCF644F755069862783,OBJ_EDD6D86C9EE61E37288C,description,Gate id,Gate id,
ATTR_CD0C93E99191E411DC6E,OBJ_1FAF4858CBEE8E387EC8,type,C,C,
ATTR_15602DA650AF49F6DCE7,OBJ_1FAF4858CBEE8E387EC8,width,48,48,
ATTR_8224CAB511A2994E6EAB,OBJ_1FAF4858CBEE8E387EC8,decimals,0,0,
ATTR_8DB981BA28B77AADE9C5,OBJ_1FAF4858CBEE8E387EC8,required,1,1,
ATTR_89DF13EE892A07156F0A,OBJ_1FAF4858CBEE8E387EC8,description,Run id,Run id,
ATTR_EF6C18B0049A0F80602E,OBJ_E520194E31867978BEFB,type,C,C,
ATTR_A415C077BB5B0E9972D2,OBJ_E520194E31867978BEFB,width,80,80,
ATTR_5A1AE1DE76BD8DA7445C,OBJ_E520194E31867978BEFB,decimals,0,0,
ATTR_866AC178CDD8541481BE,OBJ_E520194E31867978BEFB,required,1,1,
ATTR_ADFC73258385F16D8A66,OBJ_E520194E31867978BEFB,description,Gate name,Gate name,
ATTR_EA13BCF63EF968C0BBF2,OBJ_060E116B833BB189D707,type,C,C,
ATTR_056336EB9441B81A3A8C,OBJ_060E116B833BB189D707,width,32,32,
ATTR_8A0A84264F3F7A72ECEC,OBJ_060E116B833BB189D707,decimals,0,0,
ATTR_A8CADAB0D4FD0E55A689,OBJ_060E116B833BB189D707,required,1,1,
ATTR_6BD88D152DE0F6997DD4,OBJ_060E116B833BB189D707,description,PASS/REVIEW/BLOCKED,PASS/REVIEW/BLOCKED,
ATTR_A29865A972B53650AD6F,OBJ_F4AE13F554F80A5A392A,type,M,M,
ATTR_ECE0636F3549656AC3EB,OBJ_F4AE13F554F80A5A392A,width,10,10,
ATTR_D553A4E8C672E5294B4C,OBJ_F4AE13F554F80A5A392A,decimals,0,0,
ATTR_EB87EAC7EB09A6E6FE88,OBJ_F4AE13F554F80A5A392A,required,0,0,
ATTR_8437E455DB1A9AA070A2,OBJ_F4AE13F554F80A5A392A,description,Gate detail memo,Gate detail memo,
ATTR_093356F573EE853B457C,OBJ_8AA8549FABF5BEFB8380,type,C,C,
ATTR_144174F3B41E98466807,OBJ_8AA8549FABF5BEFB8380,width,64,64,
ATTR_6B92F64B6D61DDD3E8E4,OBJ_8AA8549FABF5BEFB8380,decimals,0,0,
ATTR_F7542934C13A2FE2309E,OBJ_8AA8549FABF5BEFB8380,required,1,1,
